hotel_name,hotel_class,hotel_room_price,ta_rating,ta_location,ta_cleanliness,ta_service,ta_value,review_count,url
Cebu City Center Inn - IT Park Lahug,2.0,840,3.5,3.5,3.5,3.5,0,7,/Hotel_Review-g298460-d10693386-Reviews-Cebu_City_Center_Inn_IT_Park_Lahug-Cebu_City_Cebu_Island_Visayas.html
Cebu Grand Hotel,3.0,"2,032",3.5,3.5,4.0,4.0,3.5,160,/Hotel_Review-g298460-d575403-Reviews-Cebu_Grand_Hotel-Cebu_City_Cebu_Island_Visayas.html
TR3ATS Guest House,2.0,0,3.5,3.5,4.5,4.5,4.0,69,/Hotel_Review-g298460-d3573126-Reviews-TR3ATS_Guest_House-Cebu_City_Cebu_Island_Visayas.html
Verbena Hotel,2.0,"1,048",3.5,4.0,4.0,4.0,4.0,69,/Hotel_Review-g298460-d1229685-Reviews-Verbena_Hotel-Cebu_City_Cebu_Island_Visayas.html
Skyblue Hotel,2.5,"1,350",4.0,4.0,0,0,0,8,/Hotel_Review-g298460-d12595788-Reviews-Skyblue_Hotel-Cebu_City_Cebu_Island_Visayas.html
Eon Centennial Soho Hotel,3.0,0,3.5,3.0,3.5,0,0,6,/Hotel_Review-g298460-d15129474-Reviews-Eon_Centennial_Soho_Hotel-Cebu_City_Cebu_Island_Visayas.html
Allsons Inn,3.0,951,3.0,3.0,3.5,3.0,3.5,47,/Hotel_Review-g298460-d1049152-Reviews-Allsons_Inn-Cebu_City_Cebu_Island_Visayas.html
8th Street Guesthouse,2.0,720,3.0,0,0,0,0,4,/Hotel_Review-g298460-d10548033-Reviews-8th_Street_Guesthouse-Cebu_City_Cebu_Island_Visayas.html
Resort Cebu,3.0,"1,040",4.0,1.0,3.0,4.0,1.0,6,/Hotel_Review-g298460-d7934759-Reviews-Resort_Cebu-Cebu_City_Cebu_Island_Visayas.html
18 Suites,3.0,"1,080",4.0,4.0,5.0,4.0,4.0,3,/Hotel_Review-g298460-d15801829-Reviews-18_Suites-Cebu_City_Cebu_Island_Visayas.html
CebuView Tourist Inn,2.5,556,0,0,0,0,0,51,/Hotel_Review-g298460-d1547001-Reviews-CebuView_Tourist_Inn-Cebu_City_Cebu_Island_Visayas.html
Cebu City Center Inn - IT Park Lahug,2.0,840,3.5,3.5,3.5,3.5,0,7,/Hotel_Review-g298460-d10693386-Reviews-Cebu_City_Center_Inn_IT_Park_Lahug-Cebu_City_Cebu_Island_Visayas.html
Cebu Grand Hotel,3.0,"2,032",3.5,3.5,4.0,4.0,3.5,160,/Hotel_Review-g298460-d575403-Reviews-Cebu_Grand_Hotel-Cebu_City_Cebu_Island_Visayas.html
Eon Centennial Soho Hotel,3.0,0,3.5,3.0,3.5,0,0,6,/Hotel_Review-g298460-d15129474-Reviews-Eon_Centennial_Soho_Hotel-Cebu_City_Cebu_Island_Visayas.html
Honey Hunt House,2.5,893,3.0,4.5,4.0,4.0,3.5,16,/Hotel_Review-g298460-d10680820-Reviews-Honey_Hunt_House-Cebu_City_Cebu_Island_Visayas.html
Magabelle Guesthouse,2.0,888,0,0,0,0,0,3,/Hotel_Review-g298460-d15140781-Reviews-Magabelle_Guesthouse-Cebu_City_Cebu_Island_Visayas.html
The Seven Archangels Pension House,2.5,627,4.0,5.0,5.0,3.0,3.0,1,/Hotel_Review-g298460-d6825711-Reviews-The_Seven_Archangels_Pension_House-Cebu_City_Cebu_Island_Visayas.html
Murals Hostel and Cafe,0,"1,890",3.5,5.0,3.0,0,0,9,/Hotel_Review-g298460-d15199489-Reviews-Murals_Hostel_and_Cafe-Cebu_City_Cebu_Island_Visayas.html
Global 88 Apartelle,3.0,800,5.0,5.0,4.0,3.0,0,1,/Hotel_Review-g298460-d17162596-Reviews-Global_88_Apartelle-Cebu_City_Cebu_Island_Visayas.html
Bongavilla Beach Resort & Spa,3.0,"2,913",3.5,4.0,3.5,4.5,5.0,4,/Hotel_Review-g298460-d2711959-Reviews-Bongavilla_Beach_Resort_Spa-Cebu_City_Cebu_Island_Visayas.html
Ibabaw Mountain Resort,3.5,"1,800",4.5,0,0,0,0,2,/Hotel_Review-g298460-d15194202-Reviews-Ibabaw_Mountain_Resort-Cebu_City_Cebu_Island_Visayas.html
Palladium Suites,2.5,"1,339",3.0,3.5,3.0,3.0,3.0,23,/Hotel_Review-g298460-d1227528-Reviews-Palladium_Suites-Cebu_City_Cebu_Island_Visayas.html
Anika Suites,3.0,"2,526",4.0,0,0,0,0,1,/Hotel_Review-g298460-d17291809-Reviews-Anika_Suites-Cebu_City_Cebu_Island_Visayas.html
Hotel de Mercedes,0,0,3.0,3.5,3.0,3.0,3.0,55,/Hotel_Review-g298460-d651305-Reviews-Hotel_de_Mercedes-Cebu_City_Cebu_Island_Visayas.html
Crown Regency Hotel & Towers,4.0,"3,656",3.0,4.0,3.5,3.5,3.5,"1,031",/Hotel_Review-g298460-d661037-Reviews-Crown_Regency_Hotel_Towers-Cebu_City_Cebu_Island_Visayas.html
Express Inn - Cebu Hotel,3.0,"1,085",3.0,3.5,3.5,3.5,3.5,149,/Hotel_Review-g298460-d3511389-Reviews-Express_Inn_Cebu_Hotel-Cebu_City_Cebu_Island_Visayas.html
