hotel_name,hotel_class,hotel_room_price,ta_rating,ta_location,ta_cleanliness,ta_service,ta_value,review_count,url
Darcey Residences,3.0,"1,696",0,0,0,0,0,100,/Hotel_Review-g1066348-d13389783-Reviews-Darcey_Residences-Tagbilaran_City_Bohol_Island_Bohol_Province_Visayas.html
Casa Rey Francis,2.0,566,2.5,3.5,3.0,3.0,4.0,22,/Hotel_Review-g1066348-d2157445-Reviews-Casa_Rey_Francis-Tagbilaran_City_Bohol_Island_Bohol_Province_Visayas.html
Aghao Family Resort,3.0,0,2.0,0,0,0,0,1,/Hotel_Review-g2437546-d13979988-Reviews-Aghao_Family_Resort-Maribojoc_Bohol_Island_Bohol_Province_Visayas.html
Miles Pension House,2.5,0,0,0,0,0,0,81,/Hotel_Review-g1066348-d12830871-Reviews-Miles_Pension_House-Tagbilaran_City_Bohol_Island_Bohol_Province_Visayas.html
Am's Apartelle,3.0,0,0,0,0,0,0,2,/Hotel_Review-g1066348-d13803236-Reviews-Am_s_Apartelle-Tagbilaran_City_Bohol_Island_Bohol_Province_Visayas.html
Racadisson,2.5,0,5.0,5.0,5.0,0,0,2,/Hotel_Review-g1082590-d13508396-Reviews-Racadisson-Loboc_Bohol_Island_Bohol_Province_Visayas.html
Villa 301 B&B,3.0,0,4.5,0,0,0,0,6,/Hotel_Review-g1390126-d12374424-Reviews-Villa_301_B_B-Baclayon_Bohol_Island_Bohol_Province_Visayas.html
Homestay de Bai,1.0,0,0,0,0,0,0,10,/Hotel_Review-g1390126-d3633996-Reviews-Homestay_de_Bai-Baclayon_Bohol_Island_Bohol_Province_Visayas.html
Vidas Mountain Stay-Bohol,3.0,"1,400",5.0,0,0,0,0,1,/Hotel_Review-g1390126-d12186927-Reviews-Vidas_Mountain_Stay_Bohol-Baclayon_Bohol_Island_Bohol_Province_Visayas.html
Coco Grove Tourist Inn,2.0,"1,077",3.0,2.5,3.5,3.5,3.0,12,/Hotel_Review-g294259-d3198422-Reviews-Coco_Grove_Tourist_Inn-Bohol_Island_Bohol_Province_Visayas.html
IDEA Pension House,2.5,"1,844",3.5,2.5,3.5,3.5,3.5,22,/Hotel_Review-g1439399-d1439400-Reviews-IDEA_Pension_House-Jagna_Bohol_Island_Bohol_Province_Visayas.html
Rd Bed and Breakfast,3.0,"1,900",0,0,0,0,0,1,/Hotel_Review-g1872021-d12986440-Reviews-Rd_Bed_and_Breakfast-Anda_Bohol_Island_Bohol_Province_Visayas.html
Kode Inn,2.0,0,4.0,3.5,4.5,3.5,4.5,5,/Hotel_Review-g1066348-d1758791-Reviews-Kode_Inn-Tagbilaran_City_Bohol_Island_Bohol_Province_Visayas.html
Vidas Mountain Stay-Bohol,3.0,"1,400",5.0,0,0,0,0,1,/Hotel_Review-g1390126-d12186927-Reviews-Vidas_Mountain_Stay_Bohol-Baclayon_Bohol_Island_Bohol_Province_Visayas.html
Villa Feliza,2.5,0,5.0,0,0,0,0,1,/Hotel_Review-g1082590-d13987226-Reviews-Villa_Feliza-Loboc_Bohol_Island_Bohol_Province_Visayas.html
Marbella Leisure Hostel,2.0,"1,205",4.0,0,0,0,0,2,/Hotel_Review-g1066348-d10534474-Reviews-Marbella_Leisure_Hostel-Tagbilaran_City_Bohol_Island_Bohol_Province_Visayas.html
Alta Bohol Garden Resort,3.0,"2,679",5.0,0,0,0,0,1,/Hotel_Review-g1390126-d10806466-Reviews-Alta_Bohol_Garden_Resort-Baclayon_Bohol_Island_Bohol_Province_Visayas.html
Slim Pension House,2.5,0,3.5,4.0,3.5,3.5,4.0,5,/Hotel_Review-g1066348-d4556756-Reviews-Slim_Pension_House-Tagbilaran_City_Bohol_Island_Bohol_Province_Visayas.html
Blue Summer Suites,2.5,0,4.0,0,0,0,0,1,/Hotel_Review-g294259-d15344844-Reviews-Blue_Summer_Suites-Bohol_Island_Bohol_Province_Visayas.html
Anda-Divers-Enjoy Garden Resort,4.0,"1,250",4.0,3.0,4.0,0,0,1,/Hotel_Review-g1872021-d13992271-Reviews-Anda_Divers_Enjoy_Garden_Resort-Anda_Bohol_Island_Bohol_Province_Visayas.html
Coco Grove Tourist Inn,2.0,"1,077",3.0,2.5,3.5,3.5,3.0,12,/Hotel_Review-g294259-d3198422-Reviews-Coco_Grove_Tourist_Inn-Bohol_Island_Bohol_Province_Visayas.html
Buen-Bella Pension House,3.0,0,3.5,4.0,4.0,3.0,3.5,7,/Hotel_Review-g294259-d1891094-Reviews-Buen_Bella_Pension_House-Bohol_Island_Bohol_Province_Visayas.html
GV Hotel Tagbilaran,1.0,0,2.5,4.0,2.0,0,0,3,/Hotel_Review-g1066348-d10070256-Reviews-GV_Hotel_Tagbilaran-Tagbilaran_City_Bohol_Island_Bohol_Province_Visayas.html
Hotel La Roca,2.0,"1,031",0,0,0,0,0,56,/Hotel_Review-g1066348-d649814-Reviews-Hotel_La_Roca-Tagbilaran_City_Bohol_Island_Bohol_Province_Visayas.html
Constrell Pension House,2.0,"1,000",3.0,3.5,3.5,3.5,3.5,29,/Hotel_Review-g1066348-d2555427-Reviews-Constrell_Pension_House-Tagbilaran_City_Bohol_Island_Bohol_Province_Visayas.html
Mellow Apartelle And Tourist Inn,2.5,0,2.0,2.0,4.0,3.0,4.0,9,/Hotel_Review-g1066348-d7149108-Reviews-Mellow_Apartelle_And_Tourist_Inn-Tagbilaran_City_Bohol_Island_Bohol_Province_Visayas.html
Ladressner's,0,0,0,0,0,0,0,0,/Hotel_Review-g4563581-d12217928-Reviews-Ladressner_s-Loon_Bohol_Island_Bohol_Province_Visayas.html
Overview Hostel,0,0,0,0,0,0,0,0,/Hotel_Review-g4563581-d12999406-Reviews-Overview_Hostel-Loon_Bohol_Island_Bohol_Province_Visayas.html
Aghao Family Resort,3.0,0,2.0,0,0,0,0,1,/Hotel_Review-g2437546-d13979988-Reviews-Aghao_Family_Resort-Maribojoc_Bohol_Island_Bohol_Province_Visayas.html
Le Pensione de San Jose,2.0,"1,339",2.5,3.0,5.0,3.0,3.0,6,/Hotel_Review-g1066348-d6940095-Reviews-Le_Pensione_de_San_Jose-Tagbilaran_City_Bohol_Island_Bohol_Province_Visayas.html
Pantawan Guest House,3.0,889,2.0,3.0,0,0,0,4,/Hotel_Review-g1066348-d12914774-Reviews-Pantawan_Guest_House-Tagbilaran_City_Bohol_Island_Bohol_Province_Visayas.html
Casa Rey Francis,2.0,566,2.5,3.5,3.0,3.0,4.0,22,/Hotel_Review-g1066348-d2157445-Reviews-Casa_Rey_Francis-Tagbilaran_City_Bohol_Island_Bohol_Province_Visayas.html
Reyna's The Haven & Gardens Hotel,2.0,0,2.0,4.5,3.0,3.0,0,10,/Hotel_Review-g1066348-d6622176-Reviews-Reyna_s_The_Haven_Gardens_Hotel-Tagbilaran_City_Bohol_Island_Bohol_Province_Visayas.html
Villa Limpia Beach Resort,2.5,"2,000",2.5,3.5,3.5,2.5,4.5,15,/Hotel_Review-g294259-d4889031-Reviews-Villa_Limpia_Beach_Resort-Bohol_Island_Bohol_Province_Visayas.html
A's Azotea de Bohol,2.5,0,0,0,0,0,0,38,/Hotel_Review-g1066348-d15614378-Reviews-A_s_Azotea_de_Bohol-Tagbilaran_City_Bohol_Island_Bohol_Province_Visayas.html
Anda Poseidon's Beach Resort,3.0,"1,400",0,0,0,0,0,273,/Hotel_Review-g1872021-d17379693-Reviews-Anda_Poseidon_s_Beach_Resort-Anda_Bohol_Island_Bohol_Province_Visayas.html
Andnindot Garden Resort,2.5,"1,429",0,0,0,0,0,104,/Hotel_Review-g1872021-d15228836-Reviews-Andnindot_Garden_Resort-Anda_Bohol_Island_Bohol_Province_Visayas.html
Andresas Place,2.0,0,0,0,0,0,0,39,/Hotel_Review-g1082590-d15217673-Reviews-Andresas_Place-Loboc_Bohol_Island_Bohol_Province_Visayas.html
B&J Guest House and Tours,3.0,0,0,0,0,0,0,61,/Hotel_Review-g1066348-d14789046-Reviews-B_J_Guest_House_and_Tours-Tagbilaran_City_Bohol_Island_Bohol_Province_Visayas.html
Bohol Tourist Accommodation,2.5,0,0,0,0,0,0,38,/Hotel_Review-g1066348-d16800280-Reviews-Bohol_Tourist_Accommodation-Tagbilaran_City_Bohol_Island_Bohol_Province_Visayas.html
Darcey Residences,3.0,"1,696",0,0,0,0,0,100,/Hotel_Review-g1066348-d13389783-Reviews-Darcey_Residences-Tagbilaran_City_Bohol_Island_Bohol_Province_Visayas.html
G&A Apartments,3.5,0,0,0,0,0,0,73,/Hotel_Review-g1066348-d15853559-Reviews-G_A_Apartments-Tagbilaran_City_Bohol_Island_Bohol_Province_Visayas.html
Gomez Guest House,2.5,0,0,0,0,0,0,33,/Hotel_Review-g1066348-d17378494-Reviews-Gomez_Guest_House-Tagbilaran_City_Bohol_Island_Bohol_Province_Visayas.html
Hotel Gabriella,3.0,0,0,0,0,0,0,100,/Hotel_Review-g1066348-d16856069-Reviews-Hotel_Gabriella-Tagbilaran_City_Bohol_Island_Bohol_Province_Visayas.html
"Level 007 Hotels and Resorts, Inc.",3.0,"2,640",0,0,0,0,0,145,/Hotel_Review-g1066348-d17457621-Reviews-Level_007_Hotels_and_Resorts_Inc-Tagbilaran_City_Bohol_Island_Bohol_Province_Visayas.html
7 Meadows Inn,3.0,0,0,0,0,0,0,61,/Hotel_Review-g1066348-d17536740-Reviews-7_Meadows_Inn-Tagbilaran_City_Bohol_Island_Bohol_Province_Visayas.html
Miles Pension House,2.5,0,0,0,0,0,0,81,/Hotel_Review-g1066348-d12830871-Reviews-Miles_Pension_House-Tagbilaran_City_Bohol_Island_Bohol_Province_Visayas.html
Pamujo Hostel,3.0,"1,800",0,0,0,0,0,38,/Hotel_Review-g1390126-d17522743-Reviews-Pamujo_Hostel-Baclayon_Bohol_Island_Bohol_Province_Visayas.html
Royal Coast Tourist Inn,2.0,"1,650",0,0,0,0,0,130,/Hotel_Review-g1066348-d16787804-Reviews-Royal_Coast_Tourist_Inn-Tagbilaran_City_Bohol_Island_Bohol_Province_Visayas.html
Travelbee Seaside Inn,2.5,0,0,0,0,0,0,17,/Hotel_Review-g1066348-d16803948-Reviews-Travelbee_Seaside_Inn-Tagbilaran_City_Bohol_Island_Bohol_Province_Visayas.html
VL Garden Suites,2.5,0,0,0,0,0,0,38,/Hotel_Review-g1066348-d17538074-Reviews-VL_Garden_Suites-Tagbilaran_City_Bohol_Island_Bohol_Province_Visayas.html
